iPad1,1 : iPad Wi-Fi (Original/1st Gen)
iPad2,1 : iPad 2 (Wi-Fi Only)
iPad2,2 : iPad 2 (Wi-Fi/GSM/GPS)
iPad2,3 : iPad 2 (Wi-Fi/CDMA/GPS)
iPad2,4 : iPad 2 (Wi-Fi Only, iPad2,4)
iPad3,1 : iPad 3rd Gen (Wi-Fi Only)
iPad3,2 : iPad 3rd Gen (Wi-Fi/Cellular Verizon/GPS)
iPad3,3 : iPad 3rd Gen (Wi-Fi/Cellular AT&T/GPS)
iPad3,4 : iPad 4th Gen (Wi-Fi Only)
iPad3,5 : iPad 4th Gen (Wi-Fi/AT&T/GPS)
iPad3,6 : iPad 4th Gen (Wi-Fi/Verizon & Sprint/GPS)
iPad6,11 : iPad 9.7" 5th Gen (Wi-Fi Only)
iPad6,12 : iPad 9.7" 5th Gen (Wi-Fi/Cellular)
iPad7,5 : iPad 9.7" 6th Gen (Wi-Fi Only)
iPad7,6 : iPad 9.7" 6th Gen (Wi-Fi/Cellular)
iPad7,11 : iPad 10.2" 7th Gen (Wi-Fi Only)
iPad7,12 : iPad 10.2" 7th Gen (Wi-Fi/Cellular, Global)
iPad11,6 : iPad 10.2" 8th Gen (Wi-Fi Only)
iPad11,7 : iPad 10.2" 8th Gen (Wi-Fi/Cellular, Global)
iPad12,1 : iPad 10.2" 9th Gen (Wi-Fi Only)
iPad12,2 : iPad 10.2" 9th Gen (Wi-Fi/Cellular, Global)
iPad4,1 : iPad Air Wi-Fi Only
iPad4,2 : iPad Air Wi-Fi/Cellular
iPad4,3 : iPad Air Wi-Fi/TD-LTE - China
iPad5,3 : iPad Air 2 (Wi-Fi Only)
iPad5,4 : iPad Air 2 (Wi-Fi/Cellular)
iPad11,3 : iPad Air 3rd Gen (Wi-Fi Only)
iPad11,4 : iPad Air 3rd Gen (Wi-Fi+Cell Global)
iPad13,1 : iPad Air 4th Gen (Wi-Fi Only)
iPad13,2 : iPad Air 4th Gen (Wi-Fi+Cell Global)
iPad2,5 : iPad mini Wi-Fi Only/1st Gen
iPad2,6 : iPad mini Wi-Fi/AT&T/GPS - 1st Gen
iPad2,7 : iPad mini Wi-Fi/VZ & Sprint/GPS - 1st Gen
iPad4,4 : iPad mini 2 (Retina/2nd Gen, Wi-Fi Only)
iPad4,5 : iPad mini 2 (Retina/2nd Gen, Wi-Fi/Cellular)
iPad4,6 : iPad mini 2 (Retina/2nd Gen, China)
iPad4,7 : iPad mini 3 (Wi-Fi Only)
iPad4,8 : iPad mini 3 (Wi-Fi/Cellular)
iPad4,9 : iPad mini 3 (Wi-Fi/Cellular, China)
iPad5,1 : iPad mini 4 (Wi-Fi Only)
iPad5,2 : iPad mini 4 (Wi-Fi/Cellular)
iPad11,1 : iPad mini 5th Gen (Wi-Fi Only)
iPad11,2 : iPad mini 5th Gen (Wi-Fi+Cell Global)
iPad14,1 : iPad mini 6th Gen (Wi-Fi Only)
iPad14,2 : iPad mini 6th Gen (Wi-Fi/Cell Global)
iPad6,3 : iPad Pro 9.7" (Wi-Fi Only)
iPad6,4 : iPad Pro 9.7" (Wi-Fi/Cellular)
iPad6,7 : iPad Pro 12.9" (Wi-Fi Only)
iPad6,8 : iPad Pro 12.9" (Wi-Fi/Cellular)
iPad7,1 : iPad Pro 12.9" (Wi-Fi Only - 2nd Gen)
iPad7,2 : iPad Pro 12.9" (Wi-Fi/Cell - 2nd Gen)
iPad7,3 : iPad Pro 10.5" (Wi-Fi Only)
iPad7,4 : iPad Pro 10.5" (Wi-Fi/Cellular)
iPad8,1 : iPad Pro 11" (Wi-Fi Only)
iPad8,2 : iPad Pro 11" (Wi-Fi Only)
iPad8,3 : iPad Pro 11" (Wi-Fi/Cellular - Global)
iPad8,4 : iPad Pro 11" (Wi-Fi/Cellular - Global)
iPad8,5 : iPad Pro 12.9" (Wi-Fi Only - 3rd Gen)
iPad8,6 : iPad Pro 12.9" (Wi-Fi Only - 3rd Gen)
iPad8,7 : iPad Pro 12.9" (Wi-Fi+Cell Global - 3rd Gen)
iPad8,8 : iPad Pro 12.9" (Wi-Fi+Cell Global - 3rd Gen)
iPad8,9 : iPad Pro 11" (Wi-Fi Only - 2nd Gen)
iPad8,10 : iPad Pro 11" (Wi-Fi/Cell Global - 2nd Gen)
iPad8,11 : iPad Pro 12.9" (Wi-Fi Only - 4th Gen)
iPad8,12 : iPad Pro 12.9" (Wi-Fi/Cell Global - 4th Gen)
iPad13,4 : iPad Pro 11" (Wi-Fi Only - 3rd Gen)
iPad13,5 : iPad Pro 11" (Wi-Fi/Cell US - 3rd Gen)
iPad13,6 : iPad Pro 11" (Wi-Fi/Cell Global - 3rd Gen)
iPad13,7 : iPad Pro 11" (Wi-Fi/Cell China - 3rd Gen)
iPad13,8 : iPad Pro 12.9" (Wi-Fi Only - 5th Gen)
iPad13,9 : iPad Pro 12.9" (Wi-Fi/Cell US - 5th Gen)
iPad13,10 : iPad Pro 12.9" (Wi-Fi/Cell Global - 5th Gen)
